seed = 2806 sort algorithm = Bubble Sort
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 -999883435   55375545
 375910509 -1541071910 -1262747217 -1346725710 -490213275 -723158913  781732981 -1355619262
        11        546        135         51          1        193 
Sorting:

Sorted:
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 -1541071910 -1355619262
-1346725710 -1262747217 -999883435 -723158913 -490213275          1         11         51
       135        193        546   55375545  375910509  781732981 
